City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-22.44,100,94,1.87,RU,1700588135
1,grytviken,-54.2811,-36.5092,1.78,98,100,0.42,GS,1700588135
2,malango,-2.9627,119.9001,19.51,96,26,1.04,ID,1700588136
3,nadym,65.5333,72.5167,-24.4,100,35,1.25,RU,1700588137
4,west island,-12.1568,96.8225,25.99,78,75,3.6,CC,1700588138
5,puerto natales,-51.7236,-72.4875,10.25,50,75,6.69,CL,1700587913
6,qamdo,31.1667,97.2333,-4.22,43,100,1.81,CN,1700588140
7,ushuaia,-54.8,-68.3,4.79,83,75,1.79,AR,1700588140
8,blackmans bay,-43.0167,147.3167,13.07,90,8,1.56,AU,1700588141
9,bredasdorp,-34.5322,20.0403,17.49,62,37,5.84,ZA,1700588062
10,port macquarie,-31.4333,152.9167,17.72,94,74,2.23,AU,1700588142
11,akureyri,65.6835,-18.0878,4.96,52,75,9.77,IS,1700588143
12,waitangi,-43.9535,-176.5597,12.12,83,70,2.24,NZ,1700588144
13,lihue,21.9789,-159.3672,20.76,90,81,4.85,US,1700588144
14,axim,4.8699,-2.2405,27.23,81,74,3.71,GH,1700588145
15,klyuchi,52.2667,79.1667,-8.3,77,12,4.99,RU,1700588146
16,arraial do cabo,-22.9661,-42.0278,28.98,74,20,10.8,BR,1700588146
17,olonkinbyen,70.9221,-8.7187,1.71,98,100,8.79,SJ,1700588147
18,invercargill,-46.4,168.35,13.34,92,100,1.98,NZ,1700588147
19,vila franca do campo,37.7167,-25.4333,21.05,99,47,7.25,PT,1700588148
20,margaret river,-33.95,115.0667,16.68,65,4,7.02,AU,1700588149
21,shenjiamen,29.9576,122.298,17.16,77,0,5.91,CN,1700588149
22,katsuura,35.1333,140.3,17.95,84,100,3.49,JP,1700588150
23,totoras,-32.5844,-61.1685,29.52,63,71,3.48,AR,1700588151
24,langenzenn,49.5,10.8,8.36,84,100,3.13,DE,1700588151
25,ulanhot,46.0833,122.0833,-1.91,52,100,5.73,CN,1700588152
26,praia da vitoria,38.7333,-27.0667,20.14,88,40,10.6,PT,1700588152
27,ancud,-41.8697,-73.8203,11.63,60,67,4.55,CL,1700588153
28,palikir - national government center,6.9248,158.1611,24.41,100,20,1.54,FM,1700588153
29,port-aux-francais,-49.35,70.2167,2.75,64,29,11.37,TF,1700588154
30,dudinka,69.4058,86.1778,-24.66,97,100,5.59,RU,1700588155
31,hermanus,-34.4187,19.2345,17.23,71,33,6.87,ZA,1700588155
32,al bayda,32.7627,21.7551,15.01,67,100,4.81,LY,1700588156
33,hede,33.7681,120.2517,11.07,69,0,3.28,CN,1700588157
34,ilulissat,69.2167,-51.1,-2.99,68,100,7.72,GL,1700588157
35,stanley,54.868,-1.6985,5.44,93,20,1.03,GB,1700588158
36,iqaluit,63.7506,-68.5145,-7.15,73,40,2.57,CA,1700588158
37,carl junction,37.1767,-94.5655,9.12,83,100,5.66,US,1700588159
38,puerto aysen,-45.4,-72.7,7.64,99,99,2.43,CL,1700588160
39,edinburgh of the seven seas,-37.0676,-12.3116,13.5,78,6,17.07,SH,1700588160
40,nagqu,31.5,92.0,-6.33,38,80,1.2,CN,1700588161
41,fisterra,42.9049,-9.2629,13.34,68,58,9.57,ES,1700588162
42,zlatoust,55.1711,59.6508,-7.23,87,100,3.18,RU,1700588026
43,nar'yan-mar,67.6713,53.087,-22.38,100,94,1.92,RU,1700588163
44,port elizabeth,-33.918,25.5701,19.16,80,20,3.09,ZA,1700588164
45,kingston,17.997,-76.7936,32.36,63,20,3.09,JM,1700587890
46,east london,-33.0153,27.9116,21.52,83,100,1.54,ZA,1700588165
47,behshahr,36.6923,53.5526,12.97,83,78,0.49,IR,1700588166
48,utrik,11.2278,169.8474,27.26,67,91,8.24,MH,1700588167
49,claveria,18.6074,121.0832,23.71,86,98,4.87,PH,1700588168
50,ust-nera,64.5667,143.2,-31.05,96,98,0.98,RU,1700588169
51,touros,-5.1989,-35.4608,29.04,61,4,7.14,BR,1700588170
52,ryotsu-minato,38.0833,138.4333,11.77,75,0,2.96,JP,1700588170
53,tekeli,44.83,78.8239,5.58,29,18,4.69,KZ,1700588171
54,castlegar,49.2998,-117.6689,3.5,65,100,0.8,CA,1700588172
55,floro,61.5996,5.0328,5.54,65,75,6.69,NO,1700588173
56,codrington,-38.2667,141.9667,13.5,73,72,5.4,AU,1700588173
57,adamstown,-25.066,-130.1015,19.69,85,100,5.56,PN,1700588174
58,whitehorse,60.7161,-135.0538,-12.57,84,100,1.54,CA,1700587899
59,puerto real,36.5282,-6.1901,17.92,72,0,2.57,ES,1700588176
60,bilibino,68.0546,166.4372,-18.41,96,100,3.57,RU,1700588177
61,tiksi,71.6872,128.8694,-29.5,100,83,2.84,RU,1700588177
62,neryungri,56.6709,124.6491,-27.86,98,82,1.73,RU,1700588178
63,quellon,-43.1167,-73.6167,13.14,71,75,4.12,CL,1700588179
64,flying fish cove,-10.4217,105.6791,26.81,70,92,7.3,CX,1700588180
65,avarua,-21.2078,-159.775,23.03,83,9,4.63,CK,1700588180
66,bethel,41.3712,-73.414,5.92,64,20,3.09,US,1700588181
67,uturoa,-16.7333,-151.4333,25.91,81,33,6.84,PF,1700588182
68,isafjordur,66.0755,-23.124,3.02,75,100,18.01,IS,1700588183
69,santyoku,37.4406,129.1708,10.16,42,0,2.89,KR,1700588184
70,college,64.8569,-147.8028,-14.01,75,20,4.12,US,1700588185
71,nuku'alofa,-21.1333,-175.2,23.19,94,20,3.09,TO,1700588186
72,hawaiian paradise park,19.5933,-154.9731,22.24,99,100,2.06,US,1700588086
73,mocajuba,-2.5842,-49.5072,34.23,43,67,1.97,BR,1700588187
74,lebu,-37.6167,-73.65,14.44,61,50,4.51,CL,1700587906
75,pawni,20.7833,79.6333,20.29,55,1,1.95,IN,1700588188
76,happy valley-goose bay,53.3168,-60.3315,-1.83,64,20,5.66,CA,1700588189
77,carnarvon,-24.8667,113.6333,21.89,87,0,3.81,AU,1700588190
78,jamestown,42.097,-79.2353,4.77,91,100,8.49,US,1700587816
79,stephenville,32.2207,-98.2023,11.8,64,100,8.23,US,1700588192
80,rikaze,29.25,88.8833,0.91,22,72,1.08,CN,1700588193
81,albany,42.6001,-73.9662,2.87,57,99,1.79,US,1700587908
82,ghat,24.9647,10.1728,20.73,14,10,1.23,LY,1700588194
83,awjilah,29.1081,21.2869,18.81,48,1,3.62,LY,1700588195
84,soio,-6.1349,12.3689,24.93,82,100,0.59,AO,1700588195
85,saipan,15.1355,145.701,27.39,83,0,7.2,MP,1700588196
86,chipinge,-20.1883,32.6236,22.01,76,38,4.65,ZW,1700588197
87,west bay,19.3667,-81.4167,30.56,69,20,4.63,KY,1700588198
88,kerikeri,-35.2268,173.9474,14.39,91,100,0.45,NZ,1700588198
89,dazhong,33.1997,120.4578,11.3,71,0,3.3,CN,1700588199
90,talnakh,69.4865,88.3972,-24.89,97,100,4.5,RU,1700588200
91,kristiansund,63.1115,7.732,-2.64,68,0,2.06,NO,1700588200
92,achinsk,56.2694,90.4993,-13.5,76,9,4.92,RU,1700588201
93,aasiaat,68.7098,-52.8699,-4.19,67,91,9.79,GL,1700588202
94,yellowknife,62.456,-114.3525,-18.58,84,75,2.68,CA,1700588101
95,sinabang,2.4803,96.3801,24.98,89,100,1.13,ID,1700588203
96,port mathurin,-19.6833,63.4167,25.41,73,42,7.48,MU,1700588204
