City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,263.38,95,100,3.09,RU,1700158616
1,puerto ayora,-0.7393,-90.3518,301.13,93,70,2.24,EC,1700158617
2,iqaluit,63.7506,-68.5145,272.0,86,75,12.86,CA,1700158618
3,nova sintra,14.8667,-24.7167,297.09,70,93,3.92,CV,1700158618
4,taoudenni,22.6783,-3.9836,302.18,14,68,4.26,ML,1700158619
5,gwanda,-20.9333,29.0,296.55,37,8,3.66,ZW,1700158619
6,grytviken,-54.2811,-36.5092,274.86,99,100,4.1,GS,1700158368
7,thunder bay,48.4001,-89.3168,286.14,58,75,5.14,CA,1700158620
8,axim,4.8699,-2.2405,300.11,82,39,3.57,GH,1700158584
9,west island,-12.1568,96.8225,298.14,73,40,4.12,CC,1700158622
10,bilibino,68.0546,166.4372,253.41,99,100,0.34,RU,1700158193
11,stanley,54.868,-1.6985,279.1,94,20,1.03,GB,1700158192
12,xai-xai,-25.0519,33.6442,295.63,63,4,4.84,MZ,1700158624
13,adamstown,-25.066,-130.1015,294.93,90,100,6.57,PN,1700158624
14,gaspe,48.8334,-64.4819,280.1,65,40,3.09,CA,1700158503
15,susuman,62.7833,148.1667,239.29,100,85,0.52,RU,1700158626
16,wailua homesteads,22.0669,-159.378,296.59,82,40,7.72,US,1700158626
17,glace bay,46.1969,-59.957,280.81,82,75,7.2,CA,1700158627
18,port-aux-francais,-49.35,70.2167,278.76,86,100,15.83,TF,1700158366
19,tenja,45.4981,18.7472,284.5,76,0,4.63,HR,1700158629
20,merida,20.9667,-89.6167,302.05,61,75,7.72,MX,1700158444
21,tiksi,71.6872,128.8694,258.72,95,100,2.85,RU,1700158367
22,portland,45.5234,-122.6762,284.52,80,20,3.09,US,1700158580
23,bredasdorp,-34.5322,20.0403,291.42,85,99,2.34,ZA,1700158367
24,nar'yan-mar,67.6713,53.087,264.32,96,100,2.68,RU,1700158632
25,punta arenas,-53.15,-70.9167,284.16,76,100,2.57,CL,1700158632
26,chernyshevsk,52.5243,117.0174,261.77,81,39,0.76,RU,1700158633
27,tromso,69.6496,18.957,273.16,93,75,9.26,NO,1700158633
28,longyearbyen,78.2186,15.6401,261.06,67,40,6.17,SJ,1700158634
